_1,_2
#EMABiggestFansJustinBieber,29561
#EMABiggestFans1D,27369
#LuanSantanaNaHoraDoFaro,2922
#DebateNaRecord,2150
#QueroDilmaTreze,1837
#debatenarecord,1675
#demiyourstorydoesntdefineyou,1043
#VoteVampsTeenAwards,1014
#CongratsOn1MChris,892
#trndnl,857
#DomingoPreguiçosoDoSDVcomValentino,845
#VamosLaU,828
#ComeToBrazilMattEspinosa,818
#AecioEmTodoBrasil,799
#ChatApimentadoDoBiel,707
#EmTodoBrasilAecio45,659
#VamosColoColo,642
#FOLLOWMELOHANTHONY,624
#MTVHomecoming,620
#AcreditamosEmVoceLL,576
#OverloadGenBaby,556
#QueroNoTVZ,548
#CiteMusicasQueSempreEscuta,543
#KCAArgentina,532
#love,510
#austinmahonechile,508
#FelizDiaMama,448
#NowIsGoodNaGlobo,436
#Los80,414
#ESPNtemNFL,390
#AMAs,359
#TudoPorVoceMcDuduzinho,355
#MTVhomecoming,354
#twdstrangers,335
#friends,334
#ColoColo,323
#StealMyGirl,323
#VaiMedina,322
#EMABiggestFansArianaGrande,321
#Aecio45,318
#LiamSingsWhenHePees,309
#EMABiggesFans1D,303
#NoEntiendo,298
#DomingoPreguicosoDoSDVcomValentino,294
#EМABiggestFansJustinBieber,293
#askmahomie,292
#ask5sosfam,289
#Dilma13,287
#LinkinParkNoMultishow,283
#deontem,273
#domingo,270
#EvilRegals,267
#sunday,257
#TwOff,243
#YouGotItAllVideoPremiere,238
#EMABiggestFansJustinBieberᅠ,234
#AvengedSevenfoldNoRockInRio2015,227
#YSEA,221
#selfie,217
#MiMamaEs,215
#InstaSize,212
#FechadoComOCruzeiro,206
#sun,198
#ForaDilma,198
#200thEpisodeParty,197
#beach,193
#FinalLaGata,188
#DomingoDeGanarSeguidores,182
#happy,179
#calor,178
#DebatenaRecord,178
#MaratonaVaiQueCola,176
#IsraelNovaesNoLegendarios,173
#NuncaFaltaElHueonQue,169
#me,169
#DebateDaRecord,167
#PoucosDiasParaMeninaLA,167
#JugadorCDF,166
#amigos,166
#PaulaFernandesNoAltasHoras,166
#Domingo,166
#praia,163
#JulianSerrano,161
#amo,161
#sol,160
#DiaMundialCancerMama,157
#OnceUponATime,156
#Vote5HEMA,155
#AFazenda,155
#ConceptLateNightFollowSpree,154
#dancadosfamosos,152
#vscocam,151
#np,150
#QueroDilma13,150
#boanoite,149
#ForaPT,147
#Selfie,147
#AecioPelaMudanca,146
#MPN,145
#DomingoDoSDVComDanilinhoEPatolindo,145
#MadrugadaResumidaEm,142
#FavEsdvDioDusGnomos,142
#paniconaband,139
#FazendinhaMaldita,139
#DeOntem,139
#MiCancionPerfectaEs,138
#TocateParaQueNoTeToque,138
#fitness,135
#bomdia,135
#Superclasico,134
#DJSkullBlondieNaNYLoungePrudente,131
#askdirectioner,129
#FresnoMeuOrgulho,129
#MenosOdioMaisDilma,128
#A7XNoRockInRio2015,126
#BoaNoite,126
#amor,124
#SuperclasicoenADN,124
#LoveMeHarderLyricVideo,124
#VaiCorinthians,122
#DulceMVPT,122
#VoteTheVampsTeenAwards,121
#Sunday,120
#Dilma,119
#top,118
#EМABiggestFans1D,118
#gym,118
#PediuTocouRD,117
#familia,117
#MudaBrasil,117
#nofilter,116
#Repost,116
#TopPop,115
#horariodeverao,114
#OnceIsFrozen,114
#EsMuyDeMaricon,114
#FelizDiaDeLaMadre,113
#HarryRefollowLuana,112
#Endomondo,111
#party,111
#MelhorcomDilma13,110
#partiu,109
#endorphins,109
#Brasil,108
#LuceroYSEA,108
#Aécio45,108
#UmMesParaJogosVorazesAEsperancaParte1,107
#TeamDulce,107
#TotalDivas,106
#AustinMahoneChile,106
#bodybuilding,106
#Friends,105
#VoltaPolloTV,105
#askharmonizer,104
#Love,104
#sp,104
#muscle,104
#LucasLuccoNaDancaDosFamosos,103
#hardcoreladies,102
#labellamafia,102
#wellness,102
#Eleicoes2014,102
#JorgeBlanco,102
#night,101
#RAW,101
#TheVoiceNoSony,101
#Rio,99
#superclasico,99
#CircuitoBB,99
#majuresponde,97
#BomDia,97
#VaiPraCimaDelesSantos,96
#brasil,96
#ZoarAnittaCabritaSempre,96
#UdeChile,95
#piscina,95
#TROPA,94
#instagood,94
#errejota,94
#DilmaTheVodka,93
#family,93
#brazil,92
#askmagcult,89
#photo,89
#EMABiggestFansHarryPotter,89
#Santiago,88
#River,88
#beer,88
#therewillneverbeanotheronedirection,88
#enacional,88
#EmaBiggestFansArianaGrande,87
#EMABiggesFansJustinBieber,87
#LinkinPark,87
#AecioNever,87
#RT,87
#MaratonETC,86
#DamaresNoDomingoShow,86
#Lovatics,86
#ValioLaPena,85
#RJ,85
#sqn,85
#MaduroPromueveLaPaz,85
#OrianaSabatini,85
