time,count
23,153981
22,142770
21,107984
20,93350
19,99443
18,88473
17,68148
16,58547
15,57098
14,65824
13,79276
12,76891
11,66154
10,55958
09,49156
08,42716
07,37528
06,23616
05,8327
04,10157
03,22228
02,42661
01,77743
00,124599
