time,count
23,89885
22,80626
21,73049
20,68663
19,65102
18,60665
17,59165
16,61727
15,63700
14,69001
13,72334
12,75206
11,71402
10,58383
09,41485
08,27491
07,17456
06,11539
05,12108
04,17724
03,27473
02,37148
01,42778
00,56562
