time,count
23,124997
22,134555
21,123610
20,95083
19,86629
18,77033
17,75453
16,77265
15,80192
14,73534
13,76299
12,75866
11,69949
10,55888
09,38047
08,22588
07,15743
06,13707
05,16698
04,22988
03,40591
02,55958
01,77489
00,97575
