_1,_2
algo,65
desvio,65
"PT,",64
segurança,64
pros,64
"#QueroDilmaTreze\"",64
programas,64
brasileiros,64
Ai,64
querem,63
!!!,63
terceiro,63
nenhum,63
olhar,63
Você,62
Vcs,62
ganhou,62
certeza,62
"\"A",62
Voto,62
aécio,62
manda,62
fim,62
votam,62
Lei,61
#EMABiggestFansJustinBieber,61
perde,61
site,61
nenhuma,61
gosta,61
tô,61
marqueteiro,61
muita,60
Depois,60
cala,60
história,60
caras,60
gagueja,60
#MudaBrasil,60
existe,60
acabar,60
palavra,60
pontos,59
mudança,59
obras,59
meus,59
apoiando,59
Q,59
daqui,59
adesivo,58
temos,58
palavras,58
realmente,58
respeito,58
Nossa,58
nada.,58
qualquer,58
cima,58
"não,",57
Kkkk,57
propagandas,57
merece,57
22,57
Ou,57
26,57
QUE,57
#debatesbt,57
primeira,57
estado,57
N,57
DILMA,57
tivesse,57
ate,57
"#DebateNaRecord\"",56
lugar,56
amo,56
estamos,56
tomou,56
!!,56
vê,56
volta,56
conhece,56
Cala,56
1.,56
#AConversa,56
leva,56
achando,56
Rio,56
acabando,56
levou,55
entendo,55
entender,55
ano,55
mentiras,55
pó,55
#12anosderoubalheiradoptchega,55
Tudo,54
kk,54
👏,54
in,54
coração,54
"#DebateNoSBT\"",54
debate?,54
galo,54
vontade,54
Sem,54
petista,54
Santana,54
2.,53
governar,53
(@,53
Estou,53
proposta,53
5.,53
feito,53
#debatedosbt,53
http://t.co/ahfldjYoP6,53
Globo,53
Da,52
"agora,",52
Toma,52
admite,52
mil,52
conta,52
Fala,52
nome,52
mandou,52
vote,52
público,52
brasileiro,52
hahaha,52
problema,52
bosta,52
Nao,52
Dilma13,51
Pelo,51
oq,51
melhorar,51
horário,51
3.,51
deixe,51
😂😂😂😂,51
fico,51
consigo,51
bate,51
imagina,51
Do,51
pede,51
toma,51
ataca,51
4.,51
médico,50
claro,50
Presidenta,50
eleitor,50
tbm,50
ficando,50
Vocês,50
colocar,50
direito,50
chamou,50
Kkkkkk,50
ódio,50
perdida,49
Petrobrás,49
Dilma!!!,49
médicos,49
gaguejando,49
mão,49
49%,49
pai,49
Vc,49
tal,49
aquele,49
"isso,",49
muda,49
homem,49
mesmo.,49
às,48
votando,48
orientada,48
Brasil!,48
puta,48
frase,48
kkkkkkkkkk,48
@diImabr,48
metrô,48
bater,48
levar,48
lhe,48
fizeram,48
Boa,48
luz,48
futuro,48
chamar,48
professores,47
não.,47
baixo,47
respostas,47
13!,47
Santos,47
mentirosa,47
galera,47
criticar,47
fato,47
hein,47
próximo,47
atacar,47
pt,47
cabeça,46
DO,46
rua,46
mulheres,46
#EMABiggestFans1D,46
tenta,46
enrola,46
#QueroDilmaTreze”,46
Minas.,46
😒,46
houve,46
noite,46
ataques,46
duas,46
"\"\"Dilma",46
respondeu,46
"\"\"\"O",46
cantar,46
tia,45
engraçado,45
Kkkkk,45
Melhor,45
trabalho,45
pessoal,45
acredito,45
"Aecio,",45
governador,45
"Lula,",45
forma,45
saco,45
aquela,45
dias,45
hoje.,45
Tô,45
fazem,45
dilma,45
escola,44
surra,44
falam,44
argumentos,44
dela.,44
ar,44
#Dilma13DeNovo,44
força,44
pais,44
certo,44
olho,44
Vote,44
"debates,",43
X,43
parecendo,43
foto,43
Aí,43
sério,43
afirma,43
Ainda,43
51%,43
"Gerais,",43
voltar,43
#trndnl,43
cai,43
#,43
João,43
pegou,43
mandar,43
motivo,43
criou,43
Recife,43
acaba,43
pensa,42
"TV,",42
debate:,42
Onde,42
Tenho,42
Petrobras.,42
"Dilma\"",42
pena,42
"\"\"\"Dilma",42
única,42
chegou,42
Dona,42
Chega,42
Never,42
mineiro,42
sabem,42
foda,42
tentar,41
querer,41
Dolabella,41
BRT,41
agr,41
"nada,",41
"\"Dilma:",41
@MudaMais,41
Qual,41
tentando,41
conseguiu,41
numa,41
atrás,41
rs,41
perdendo,41
SBT.,41
Nunca,41
podia,41
seca,41
votaria,41
&lt;3,40
👌,40
pronatec,40
teria,40
ficam,40
vermelho,40
Dilma..,40
sorriso,40
@marisascruz,40
EM,40
Eita,40
foge,40
alguma,40
irmã,40
Dilma!!,40
isso?,40
posso,40
R$,40
#TodosComDilma,40
Daqui,40
Datafolha,40
tucano,40
presidência,40
@PastorMalafaia,40
Então,39
Estamos,39
Luciana,39
vive,39
começar,39
PSDB.,39
Sobre,39
Corinthians,39
prova,39
Praça,39
"Minas,",39
rainha,39
Queria,39
AÉCIO,39
Dia,39
diferença,39
pelos,39
sentindo,39
assistir,39
comprar,39
13.,39
Joao,39
"Rousseff,",39
Dado,39
pega,39
época,38
investigar,38
@folha_com,38
#VoucomDilma13,38
defende,38
@lobaoeletrico,38
gaguejar,38
levando,38
#13,38
governo.,38
pesquisas,38
violência,38
"bem,",38
Família,38
Segundo,38
the,38
lembra,38
chegar,38
sbt,38
pobre,38
tao,38
defendendo,38
Cuba,38
Igor,38
show,38
repórter,38
erro,38
Twitter,38
nervosa,38
#DilmaMudaMais,37
Aqui,37
mano,37
Nordeste,37
este,37
melhores,37
eleições,37
veio,37
desemprego,37
Está,37
errado,37
Porto,37
caralho,37
chupa,37
#AgoraÉAecioBrasil,37
Candidata,37
podem,37
amanhã,37
combate,37
mto,37
impressão,37
votem,37
Ah,37
#PSDBsecouSP,36
projeto,36
estarrecida,36
melhor.,36
Veja,36
eleger,36
números,36
Aecio.,36
emprego,36
kkkkkkkkk,36
nova,36
comparar,36
#AgoraBrasilAécio45,36
queremos,36
indo,36
"\"\"\"",36
"mesmo,",36
isso.,36
burra,36
somos,35
lembrar,35
compara,35
veja,35
sujo,35
2010,35
#Dilma13MaisBrasil,35
dó,35
perguntar,35
possível,35
#foraDilma,35
samba,35
@VEJA,35
deixou,35
ruas,35
Começou,35
"hoje,",35
semana,35
político,35
:),35
@JornalOGlobo,35
defender,35
tucanos,35
#AecioPelaMudança,35
mãos,35
mau,35
tb,35
pedindo,35
minutos,35
"cara,",34
achei,34
militância,34
Candidato,34
Parece,34
neste,34
debates.,34
cabelo,34
super,34
Chupa,34
sinto,34
aula,34
mídia,34
imagem,34
"\"\"Eu",34
presidente.,34
usou,34
Pode,34
voz,34
linda,34
//,34
tira,34
federal,34
vitória,34
azul,34
recebe,34
legal,34
debate!,34
somem,34
#45,34
gov,34
votou,33
#Aécio,33
candidatos,33
anos.,33
Maria,33
últimos,33
#PSDBNuncaMais,33
além,33
difícil,33
jogo,33
explicar,33
"mais,",33
cor,33
algum,33
ditadura,33
plano,33
